Tweets,Username,Location,Date
@boblister_poole All those billions sent (laundered) to Ukraine and the best they can come up with is a Heath Robinson catapult that fires a tube with stuck on wings!?! 😂🤦🤡 #Ukraine has already lost and Russia hasn't even started using it's actual troops yet! #WagnerGroup #PMC,Smiler Dan Golf,None,5/3/23
#Gazprom Raises a Mercenary Army – will it be #WagnerGroup's downfall or #Putin ? https://t.co/z8fJ0mQZd1 #ukrainecounteroffensive #UkraineWar,DefenceReport,None,5/3/23
Got some work to do so let’s go 😎 #SpecialMilitaryOperation #СВО #Россия #zov #cилаVправде #СвоихНеБросаем #ZаНаших #ZаМир #НеZабудем #ГероиZ #ZаПацаноV #АрмияZ #ZaПобеду #ZаканчиваемVойны #UkraineRussiaWar️ #wagner #sniper #снайпер #WagnerGroup #WagnerPMC #jambo #Вагнер #йода https://t.co/b9JgatBvoa,йода,None,5/3/23
"#WagnerGroup lost more than 100 soldiers in a single day because of a lack of ammunition, mercenary boss says https://t.co/xHpZTITRcs #Wagner #UkraineWillWin #UkraineRussiaWar️ #UkraineFrontLines #UkraineWar #UkrainianArmy #SlavaUkraïni 💪🇺🇦",Mickey,United States,5/3/23
"#RussianArmy and #WagnerGroup are trying to level every building in #Bakhmout. They think it will make their offensive advance easier. This scorched earth strategy worked well in Aleppo, Syria, where the whole town was grounded into the dust. Heroic #Ukraine army will stand. https://t.co/uxLALjoFDF",Ostap Bender,"Rio de Janeiro, Brazil",5/2/23
"Exhibit A for stupidity 101: Here, we see creatures signing up for their own death with Prigohzin. One even shakes his hand and does the sign of the cross on Prigohzin 🙄😂 #Prigozhin #WagnerGroup #Russia #RussiaIsLosing https://t.co/IzKnCeZ5A0",Monya,None,5/2/23
"As counter-offensive looms, Ukraine vows not to give up Bakhmut @sightmagazine #Ukraineconflict #Bakhmut #Russia #WagnerGroup #GeneralOleksandrSyrskyi https://t.co/sb5IlnycNY",Sight Magazine,Australia,5/2/23
@mfa_russia @RusMission_EU @RF_OSCE @MoldovaMFA @embrus_md @EUinRussia @RusEmbUSA @natomission_ru will colonize your beloved Africa... #WagnerGroup,Frs,None,5/2/23
He did adviced this piece of garbage. #Ukraine #russia #UkraineRussiaWar️ #Putin #Zelensky #WagnerGroup #RussiaIsATerroristState https://t.co/JLpjq3crS4,Raisina Centric,None,5/2/23
Prigozhin: Commander of Ukraine's Territorial Defense 'presumably' killed near Bakhmut #UKRAINE #WAGNERGROUP https://t.co/t0PDwSXeUt,🌊 Peter Taylor 💙 🌎,None,5/2/23
